features,propertyType,zoning
"{""architectureType"": ""Split Level"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
{},Single Family,R88 - SINGLE FAMILY RES
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Asbestos Shingle"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
"{""floorCount"": 2, ""garage"": true, ""garageType"": ""Detached"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 3, ""unitCount"": 1}",Single Family,DPX
"{""architectureType"": ""European"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""floorCount"": 1, ""foundationType"": ""Pier / Post & Beam"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Manufactured,Unknown
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""European"", ""unitCount"": 1}",Manufactured,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 8, ""floorCount"": 2}",Single Family,Unknown
"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,RG-2
"{""cooling"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,R2
"{""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,PD
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Conventional"", ""exteriorType"": ""Asbestos Shingle"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Masonry"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RS7
"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1, ""viewType"": ""Golf Course""}",Manufactured,RMS
"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,TH
"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R100-SINGLE FAM RES
"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""foundationType"": ""Concrete"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,TND
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,R-1
"{""architectureType"": ""Modular"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 2}",Single Family,LR-LOW DENSITY
"{""garage"": true, ""garageType"": ""Mixed"", ""pool"": true}",Vacant,RS-30
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7}",Single Family,Unknown
"{""architectureType"": ""Rambler"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RPC: RES PLANNED CMNTY
"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Built-up (Layered Asphalt)"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Other"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""unitCount"": 1}",Condo,Unknown
"{""cooling"": true, ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1, ""coolingType"": ""Commercial"", ""foundationType"": ""Slab / Mat / Raft""}",Single Family,PIP
"{""cooling"": true, ""coolingType"": ""Package"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Package"", ""pool"": true, ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,OPUD
"{""architectureType"": ""Ranch / Rambler"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Crawl / Raised"", ""garage"": true, ""garageType"": ""Detached Garage"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RS3
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1, ""garage"": true, ""garageType"": ""Garage""}",Condo,A
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Z372
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 1, ""foundationType"": ""Girder"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Roll Tar & Gravel"", ""unitCount"": 1}",Condo,Z239
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""foundationType"": ""Retaining Wall"", ""heating"": true, ""roofType"": ""Shingle (Not Wood)"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R-6
"{""architectureType"": ""Condo / Apartment"", ""floorCount"": 40, ""unitCount"": 1}",Condo,Unknown
"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Masonry"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""foundationType"": ""Concrete"", ""garage"": true, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,PDH3
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,RS-4
"{""cooling"": true, ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""heating"": true, ""heatingType"": ""Package"", ""roofType"": ""Composition Shingle"", ""roomCount"": 4, ""unitCount"": 1, ""coolingType"": ""Commercial""}",Single Family,Unknown
"{""architectureType"": ""Colonial"", ""exteriorType"": ""Wood"", ""floorCount"": 3, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 12, ""unitCount"": 1}",Duplex-Triplex,U1
"{""floorCount"": 1, ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R100-SINGLE FAM RES
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R1
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle""}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central""}",Single Family,Unknown
"{""exteriorType"": ""Protective"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Retaining Wall"", ""heating"": true, ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Multi-Unit Building"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached Garage"", ""heating"": true, ""roofType"": ""Gravel / Rock"", ""unitCount"": 2}",Multi Family,R2
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 8}",Single Family,RS10
"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Block"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R-6
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Package"", ""roofType"": ""Metal"", ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Masonry"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""pool"": true, ""poolType"": ""Pool, Fiberglass"", ""roofType"": ""Composition Shingle"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,R7 - SINGLE FAMILY RES
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,SRE
"{""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,R-1:SINGLE FAM-RES
"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 12, ""unitCount"": 1}",Single Family,ZO01
"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Electric"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Condo,R-8C(R-8 W/CLUSTER DEV)
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""1 Story Brick Chimney"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
"{""architectureType"": ""Condo / Apartment""}",Condo,6407:HIGH DENS MIX USE
"{""floorCount"": 2, ""unitCount"": 1}",Single Family,Unknown
{},Land,Unknown
"{""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,Unknown
"{""exteriorType"": ""Vinyl"", ""garage"": true, ""garageType"": ""Garage""}",Single Family,BERKELEY COUNTY - PD-MU
"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 8}",Single Family,Unknown
"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
"{""floorCount"": 1, ""unitCount"": 1}",Single Family,PUD
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 6}",Single Family,RS
"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Metal"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Metal"", ""unitCount"": 1}",Manufactured,R1MH
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Wood"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R1
"{""cooling"": true, ""coolingType"": ""Central"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Condo,LA(Q)R3-1
"{""architectureType"": ""Mobile Home"", ""fireplace"": true}",Manufactured,Unknown
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1, ""garage"": true, ""garageType"": ""Detached""}",Single Family,R-20
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RS
"{""architectureType"": ""Contemporary"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""foundationType"": ""Pier"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Block"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R-6
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RS
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""unitCount"": 1}",Single Family,R-1B
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,Unknown
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 8}",Single Family,LDR
"{""architectureType"": ""Mobile Home"", ""floorCount"": 1}",Manufactured,Unknown
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R110M
"{""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,R-1:SINGLE FAM-RES
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RSC-9
"{""exteriorType"": ""Concrete Block"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,"3700:MULTI-FAM,10-21 U/A"
"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 6}",Single Family,AG
"{""architectureType"": ""Contemporary"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""roomCount"": 18, ""unitCount"": 1}",Single Family,DOR175
"{""architectureType"": ""Bungalow"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Block"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,Unknown
"{""cooling"": true, ""fireplace"": true, ""garage"": true, ""heating"": true, ""unitCount"": 1}",Condo,Unknown
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central""}",Single Family,RES3
